;ID_ARB;orfeo_no.;URL
0;245122015-;20204050978752 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020405097875200001
1;245122015-;20204050978752 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020405097875200002
2;245122015-; 20208000983702 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800098370200001
3;245122015-; 20208000983702 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800098370200002
4;245122015-; 20208000984032 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800098403200001
5;245122015-; 20208000984032 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800098403200002
6;245122015-; 20208000984192 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800098419200001
7;245122015-; 20208001142732 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800114273200001
8;245122015-; 20208001250212 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800125021200001
9;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200001"
10;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200002"
11;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200003"
12;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200004"
13;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200005"
14;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200006"
15;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200007"
16;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200008"
17;245122015-;" 
20208001308052 ";"https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=
2020800130805200009"
18;245122015-; 20208001360272 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800136027200001
19;245122015-; 20208001360272 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800136027200002
20;245122015-; 20208001360272 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800136027200003
21;245122015-; 20208001423112 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800142311200001
22;245122015-; 20208001588972 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800158897200001
23;245122015-; 20208001693922 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800169392200001
24;245122015-; 20208001693922 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800169392200002
25;245122015-; 20208001722392 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800172239200001
26;245122015-; 20208001766142 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800176614200001
27;245122015-; 20208001866092 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2020800186609200001
28;245122015-; 20218000219332 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800021933200001
29;245122015-; 20218000276432 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800027643200001
30;245122015-; 20218000302282 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800030228200001
31;245122015-; 20218000464342 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800046434200001
32;245122015-; 20218000464342 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800046434200002
33;245122015-; 20218000471692 ;https://orfeo.defensajuridica.gov.co/old/linkArchivo.php?numrad=2021800047169200001
