,id_entidad,preten_ind,ind,un_preten,valor_ini_ind,contraparte,convocados,convocantes,id_arb,extrae,par_entidad,consecutivo,cont_casos,interinst,orfeo,impacto,ep_convocante,tipo_conv,apoderado_convocante,ep_convocada,apoderado_convocado,ent_vinculadas,nit,nac_ter_int,rol_entidad,tipo_arb,exp_cam_com,ctr_arbitraje,mecanismo_sel_arb,arbitro_n,nombre_arbitro,nombre_secretario,idsecretario,estado_caso,instancia,etapa,sentido_lau,tipo_cond,valor_costas,tipo_arbitramento,nombre_ua,sector_ua,hechos
0,245,,1,0,0.0,ALIADAS PARA EL PROGRESO S.A.S NIT 900866551-8,AGENCIA NACIONAL DE INFRAESTRUCTURA –ANI,ALIADAS PARA EL PROGRESO S.A.S NIT 900866551-8,245122015-,245,42,,1,NO,"20204050978752 / 20208000983702 / 20208000984032 / 20208000984192 / 20208001142732 / 20208001250212 / 
20208001308052 / 20208001360212 / 20208001360272 / 20208001423112 / 20208001588972 / 20208001693922 / 20208001722392 / 20208001766142 / 20208001866092 / 20218000219332 / 20218000276432 / 20218000302282 / 20218000464342 / 20218000471692 / 20218000597242 / 20218000860002 / 20218000956472 / 20218000977772 / 20218001174582 / 20218001283262 / 20218001305902 / 20218001454492 / 20218001766872 / 20218001767012 / 20218002034122 / 20218002039512",,NO,JURIDICA ,SANTOS  RODRIGUEZ JORGE ENRIQUE,SI,ORTIZ MAYA ANDRES MAURICIO,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI|245|TRANSPORTE,830125996-6,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,123555,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",COMUN ACUERDO,1.0,TAPIAS DELPORTE XIMENA,RUGELES MARTINEZ MONICA FERNANDA,52256686,TERMINADO POR LAUDO,PRIMERA ,INICIO Y FIJACIÓN DEL LITIGIO,FAVORABLE,,,GENERAL,AGENCIA NACIONAL DE INFRAESTRUCTURA,Sector Transporte,"1. EL 18 DE AGOSTO DEL 2015, LAS PARTES FIRMARON CONTRATO DE CONCESIÓN BAJO LA MODALIDAD APP 012 DEL 2015, EL CUAL TENÍA COMO OBJETO ""LOS ESTUDIOS Y DISEÑOS DEFINITIVOS, FINANCIACIÓN, GESTIÓN AMBIENTAL, PREDIAL Y SOCIAL, CONSTRUCCIÓN, MEJORAMIENTO, REHABILITACIÓN, OPERACIÓN, MANTENIMIENTO Y REVESIÓN DE LA CONCESIÓN DE SANTANA, MOCOA, NEIVA"".
2. UNA VEZ SUSCRITO EL CONTRATO, LAS PARTES FIRMARON 6 OTROSÍES.
3. LA PARTE CONVOCANTE MANIFIESTA QUE EN ATENCIÓN A LO ESTIPULADO DEL CONTRATO, EL 21 DE SEPTIEMBRE DEL 2016 SE EJECUTÓ LA OBLIGACIÓN DE CIERRE FINANCIERO Y SE REPORTÓ EL DEBIDO CUMPLIMIENTO DE FONDEDO DE LAS SUBCUENTAS PARA EL MOMENTO DE LA SUSCRIPCIÓN.
4. EL 8 DE DICIEMBRE DEL 2015, LA PARTE CONVOCANTE CONTRATÓ COMO INGENIERO INDEPENDIENTE PARA REALIZAR LAS LABORES DE ANÁLISIS Y VIABILIDAD DEL PROYECTO ANTE LOS FINANCIADORES A LA SOCIEDAD TÉCNICA Y PROYECTOS S.A.
5. LA SOCIEDAD TYPSA A FINALES DE SEPTIEMBRE DEL 2016, SE VIÓ INVOLUCRADA EN UN ESCÁNDALO DE CORRUPCIÓN A FINALES DE SEPTIEMBRE DEL 2016, POR LO QUE PARA LLEVAR A CABO LOS DESEMBOLSOS DEL CIERRE FINANCIERO, LA PARTE CONVOCANTE TUVO QUE CONTRATAR UN NUEVO INGENIERO INDEPENDIENTE.
6. LO ANTERIORMENTE MENCIONADO Y LA AVALANCHA DEL 1 DE ABRIL DEL 2017 EN MOCOA, GENERÓ UN RETRASO EN LAS NEGOCIACIONES PARA LA SUSCRIPCIÓN DE LOS CONTRATOS DE CRÉDITO Y EL POSTERIOR DESEMBOLSO DE RECURSOS.
7. LA PARTE CONVOCANTE MANIFIESTA QUE POR LOS SUCESOS ANTERIORMENTE MENCIONADOS, NO PUDO EJECUTAR EL FONDEDO DE LAS SUBCUENTAS DEL PATRIMONIO AUTÓNOMO DEL PROYECTO POR LO QUE EL 14 DE DICIEMBRE DEL 2016 MEDIANTE COMUNICACIÓN LE EXPRESÓ A LA ANI LA EXISTENCIA DE CIRCUNSTANCIAS IMPREVISTAS QUE RETRASARON EL CRONOGRAMA FINANCIERO.
8. LA CONVOCANTE Y LA INTERVENTORÍA SOLICITARON A LA ENTIDAD LA AMPLIACIÓN DE PLAZO PARA EJECUTAR TODAS SUS OBLIGACIONES FINANCIERAS, LO CUAL FUE NEGADO.
9. LUEGO LA INTERVENTORÍA CAMBIÓ SU POSICIÓN SOBRE EL NO CUMPLIMIENTO DEL CONCESIONARIO PARA EMPEZAR A CALIFICARLO COMO INCUMPLIMIENTO.
10. LA ANI MEDIANTE MEMORANDO 2017-304-017756-3 DEL 14 DE DICIEMBRE DEL 2017 DECIDIÓ INICIAR PROCESO PARA IMPONER MULTA.
11. LA ENTIDAD CONVOCADA MEDIANTE LA RESOLUCIÓN 1376 DEL 30 DE JULIO DEL 2018, SE ADOPTÓ LA DECISIÓN DE FONDO DENTRO DEL PROCESO ADMINISTRATIVO SANCIONATORIO E IMPUSO MULTA.
12. LA PARTE CONVOCANTE INTERPUSO RECURSO DE REPOSICIÓN, EN CONTRA DE LA ANTERIOR DECISIÓN.
13. MEDIANTE LA RESOLUCIÓN 2226 DEL 18 DE DICIEMBRE DEL 2018, LA ENTIDAD CONVOCADA CONFIRMÓ LA DECISIÓN.
14. LA PARTE CONVOCANTE SOLICITA QUE SE DECLARE QUE NO HAY LUGAR A DECLARAR EL INCUMPLIMIENTO NI A IMPONER MULTAS POR LA FALTA DE FONDEO DE LAS SUBCUENTAS COMPENSACIONES AMBIENTALES."
1,245,,2,0,0.0,CONCESIONARIA VIAL DEL PACIFICO S.A.S. COVIPACIFICO S.A.S. NIT 900744773-2,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CONCESIONARIA VIAL DEL PACIFICO S.A.S. COVIPACIFICO S.A.S. NIT 900744773-2,2450072014-448,245,42,448.0,1,NO,20164050099902 / 20164050805822 / 20164050994912 / 20168001027282/ 20174050562882,JURIDICO,NO,JURIDICA ,MANZANO RIAÑO CARLOS ALBERTO,SI,BEJARANO GUZMAN RAMIRO,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI|245|TRANSPORTE,830125996-6,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,4494,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,3.0,RUIZ OREJUELA WILSON,BARRIOS MORALES LAURA FERNANDA,39791207,TERMINADO POR LAUDO,PRIMERA ,FALLO,DESFAVORABLE,HACER,0,GENERAL,AGENCIA NACIONAL DE INFRAESTRUCTURA,Sector Transporte,"En la ejecución del contrato de concesión 007 de 2014 se pretende que se declare que el tiempo de ejecución de la fase de preconstrucción es tácito y determinable y no expreso o determinado, por lo tanto el concesionario tiene derecho al correspondiente termino necesario para cumplir con las condiciones establecidas en el contrato de concesión  y a que se le pague los costos de las actividades e intervenciones de mejoramiento, rehabilitación o construcción realizadas sobre las vías objeto de entrega."
2,408,42267396706.639366,4,PESOS,35624000000.0,UNION TEMPORAL ESQUEMAS DE PROTECCIÓN SIGLO XXI NIT 900587620-0,UNIDAD NACIONAL DE PROTECCIÓN,UNION TEMPORAL ESQUEMAS DE PROTECCIÓN SIGLO XXI NIT 900587620-0,4082032012-465,408,30,465.0,1,NO,20174050012262/ 20174050633812/ 20174050692162/ 20174050932852/ 20178001647822/ 20178001798102/ 20188000006442,MACROECONOMICO,NO,JURIDICA ,GIRALDO MARTINEZ HAIDY ELIZABETH,SI,ESTRADA SANCHEZ JUAN PABLO,UNIDAD NACIONAL DE PROTECCION|408|INTERIOR,,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,5043,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,1.0,ARAQUE JAIMES WILLIAM JAVIER,MÜRRLE ROJAS ANNE MARIE,31970481,TERMINADO POR LAUDO,PRIMERA ,FALLO,DESFAVORABLE,PAGAR,0,GENERAL,UNIDAD NACIONAL DE PROTECCIÓN,Sector Interior,"Debido a que se desconocieron los deberes de planeación, de claridad y precisión en los pliegos de condiciones al no contemplar ni informar las verdaderas cantidades de esquemas de protección que se requerian implementar se genero el incumplimiento del contrato desencadenando en detrimento economico del contratista."
3,206,26021859243.39504,6,PESOS,18749272391.0,CONSORCIO CMS CARCELES DISICO  ,FONDO FINANCIERO DE PROYECTOS DE DESARROLLO - FONADE,CONSORCIO CMS CARCELES DISICO  ,20620703292007-212,206,53,212.0,1,NO,20184050528972,JURIDICO,NO,JURIDICA ,REY BONILLA JULIA,SI,ESTRADA SANCHEZ JUAN PABLO,FONDO FINANCIERO DE PROYECTOS DE DESARROLLO - FONADE|206|PLANEACION,899999316-1,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,2891,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,1.0,BARRERA MUÑOZ WILLIAM EDGARDO,BARRIOS MORALES LAURA FERNANDA,39791207,TERMINADO POR LAUDO,PRIMERA ,FALLO,DESFAVORABLE,PAGAR,0,INFRAESTRUCTURA,EMPRESA NACIONAL PROMOTORA DEL DESARROLLO TERRITORIAL,Sector Planeación,"El día 28 de febrero de 2007 el consorcio CMS y FONADE suscribieron contrato de obra No. 2070329 cuyo objeto consistió en "" la ejecución por parte de el contratista de la obra denominada "" construcción del complejo penitenciario y carcelario que contiene el establecimiento penitenciario de mediana y mínima seguridad para hombre y reclusión de mujeres, en puerto triunfo Antioquia  de acuerdo con la descripción, especificaciones y demás condiciones establecidas en las reglas de participación del proceso de selección que procedió a la celebración del mismo, los documentos, información técnica suministrada por FONADE y la propuesta presentada por el contratista.
en el contrato pactado bajo la modalidad de precios unitarios, en el que si bien se tienen unas cantidades d obras estimadas , estas pueden variar dentro del desarrollo del mismo, sin embargo las cantidades que estimó FONADE inicialmente se encontraban completamente alejadas de la realidad de la obra, lo cual se explica no solo por las evidentes inconsistencias en los diseños entregados por FONADE, sino también por la falta de planeación y coherencia entre los diversos documentos contractuales. dicha situación fue puesta de manifiesto en diversas oportunidades por el Consorcio. por lo anterior el convocante solicita que se reconozca la ineficacia de pleno derecho de las disposiciones de los pliegos de condiciones de la licitación pública IPG-1621 195073 que contengan contravenciones a las disposiciones del artículo 24, numeral 5 de la ley 80 de 1993, en punto a la exoneración de responsabilidad de FONADE de la información puesta a disposición de los oferentes en la licitación.
así mismo que FONADE incumplió el contrato de obra  No. 2070329 de 2007."
4,196,9117678756.539389,7,PESOS,7648714750.0,EFIGAS S.A. E.S.P. NIT 800202395-3,MINISTERIO DE MINAS Y ENERGÍA,EFIGAS S.A. E.S.P. NIT 800202395-3,196CONTRATO DE CONCESIÓN GAS-021997-476,196,30,476.0,1,NO,20164050901742/ 20178002349452/ 20188000219612/ 20188000284952/ 20198002411772,JURIDICO,NO,JURIDICA ,VALL DE RUTEN RUIZ JESUS,SI,LOPEZ MARTINEZ ADRIANA CONSUELO,MINISTERIO DE MINAS Y ENERGÍA|196|MINAS Y ENERGIA,899999022-1,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,4631,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,3.0,BARRERA MUÑOZ WILLIAM EDGARDO,PABON SANTANDER FERNANDO,79460440,TERMINADO POR LAUDO,PRIMERA ,FALLO,DESFAVORABLE,PAGAR,0,GENERAL,MINISTERIO DE MINAS Y ENERGÍA,Sector Minas y Energía,"El 26 de abril de 1997 se firmo el CONTRATO DE CONCESIÓN ESPECIAL PARA LA PRESTACIÓN DEL SERVICIO PÚBLICO DOMICILIARIO DE DISTRIBUCIÓN DE GAS NATURAL POR RED FISICA O TUBERIA EN FORMA EXCLUSIVA EN EL AREA DENOMINADA AREA DE CALDAS entre el Ministerio de Minas y Energía y EFIGAS cuyo objeto fue asegurar que el concesionario por su cuenta y riesgo preste el servicio publico domiciliario de distribución de gas natural por red de tubería, en condiciones de exclusividad. la controversia se genero debido a que se introdujeron modificaciones al régimen tributario, que afectaron las previsiones del concesionario en materia de impuestos tenidas en cuanta para la presentación de la oferta."
5,242,111111884024.71384,11,PESOS,102263000000.0,RCN TELEVISIÓN SA NIT 8300297037,MINISTERIO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,RCN TELEVISIÓN SA NIT 8300297037,2421401997-,242,65,,1,NO,20194052181792/ 20198002204162/20198002219502/20198002204162/ 20198002373982 /20204050075762/20204050001402/20208000110522/20214051223702,JURIDICO,NO,JURIDICA ,GOMEZ JARAMILLO JUAN CARLOS,SI,EXPOSITO VELEZ JUAN CARLOS,MINISTERIO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES|242|TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,899999053-1,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,118949,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,3.0,BARRERA MUÑOZ WILLIAM EDGARDO,RUEDA ORDOÑEZ LAURA MARCELA,63515847,TERMINADO POR LAUDO,PRIMERA ,INICIO Y FIJACIÓN DEL LITIGIO,DESFAVORABLE,,,GENERAL,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Sector de las Tecnologías de la Información y las Comunicaciones,LAS PARTES SUSCRIBIERON UN CONTRATO EN DONDE LA CONVOCANTE ES CONCESIONARIA DE UN CANAL NACIONAL DE TELEVISÓN DE OPERACIÓN PRIVADA. 2. LA PARTE CONVOCANTE SOLICITA LE SEAN PAGADAS LAS SUMAS POR CONCEPTO DE PRÓRROGA.
6,206,4962870242.8463125,16,PESOS,3300000000.0,CARLOS VENGAL PEREZ - SA ASOCIADOS LIMITADA- CONSTRUCTORA YACAMAN VIVERO LTDA- INTEGRANTES DEL CONSORCIO PARQUE DE CARTAGENA 2006-HM INGENIERIA LTDA-PONCE DE LEON Y ASOCIADOS SA INGERNIEROS CONSULTORES INTEGRANTE DEL CONSORCIO PARQUE ESTADIO  ,CARLOS VENGAL PEREZ - SA ASOCIADOS LIMITADA- CONSTRUCTORA YACAMAN VIVERO LTDA- INTEGRANTES DEL CONSORCIO PARQUE DE CARTAGENA 2006-HM INGENIERIA LTDA-PONCE DE LEON Y ASOCIADOS SA INGERNIEROS CONSULTORES INTEGRANTE DEL CONSORCIO PARQUE ESTADIO  ,FONDO FINANCIERO DE PROYECTOS DE DESARROLLO - FONADE,20620540342006-33,206,53,33.0,1,NO,20148001360472,JURIDICO,SI,JURIDICA ,  ,NO,  ,FONDO FINANCIERO DE PROYECTOS DE DESARROLLO - FONADE|206|PLANEACION,899999316-1,NACIONAL,CONVOCANTE,ARBITRAMENTO GENERAL,2175,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,2.0,BARRERA MUÑOZ WILLIAM,URIBE BERNATE CLARA LUCIA,39692018,TERMINADO POR LAUDO,PRIMERA ,FALLO,DESFAVORABLE,NO HAY CONDENA,0,INFRAESTRUCTURA,EMPRESA NACIONAL PROMOTORA DEL DESARROLLO TERRITORIAL,Sector Planeación,"La celebración del convenio interadministrativo No. 0087-195021 de 23 de junio del año 2005 entre FONADE, el Distrito de Cartagena y Coldeportes, cuyo objeto fue desarrollar el proyecto de construcción de un parque de atletismo en el Distrito de Cartagena, poner a disposición el predio en el que se realizaría el proyecto, obtener las licencias y permisos necesarios y entregar a FONADE todos los estudios, planos y diseños y de más documentos necesarios para la buena ejecución del proyecto y por último correspondía a FONADE coordinar la ejecución del proyecto y ejercer la gerencia integral del mismo, incluyendo en ello la celebración de las contrataciones que resultaren necesarias. La celebración del contrato de consultoría No. 20153576 de 2005 entre FONADE y la Sociedad Méndez Wiesner & CIA LTDA. la contratación por parte de FONADE de la firma CIC Consultores S.A para la realización de 3 estudios geotécnicos relativos a la pista de competencia y entregados en noviembre de 2006, diciembre de 2007 y julio de 2009, con la finalidad de determinar la causa de las fallas en la pista atlética y del llamado campo de marte. la revisión documental adelantada por FONADE en agosto de 2009, determinó como causas de la inestabilidad de la construcción las siguientes: 1. los problemas derivados del manejo de aguas 2. los problemas derivados de las deficiencias del proceso constructivo. Como consecuencia de lo anterior los convocantes solicitan se declare el incumplimiento de las obligaciones contractuales de inspección, control y vigilancia que le imponían el contrato durante la ejecución de las obras de construcción del parque estadio de la ciudad de Cartagena."
7,245,183363487190.16345,17,PESOS,132765941168.0,VIAS DE LAS AMERICAS SA NIT  900373783-3,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,VIAS DE LAS AMERICAS SA NIT  900373783-3,2450082010-108,245,42,108.0,1,NO,20154050238872 / 20168001942982,MACROECONOMICO,NO,JURIDICA ,MONROY TORRES MARCELA DEL NIÑO JESUS,SI,DE VEGA PINZON GABRIEL,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI|245|TRANSPORTE,830125996-6,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,3384,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,3.0,BARRERA MUÑOZ WILLIAM,PABON SANTANDER FERNANDO,79460440,TERMINADO POR LAUDO,PRIMERA ,FALLO,FAVORABLE,NO HAY CONDENA,0,GENERAL,AGENCIA NACIONAL DE INFRAESTRUCTURA,Sector Transporte,"El contrato celebrado entre las partes tuvo como objeto el otorgamiento de una concesión para realizar contracción , rehabilitación , mejoramiento, ampliación y conservación del proyecto vial transversal de las américas y preparación de estudios, diseños definitivos, gestión predial, social y ambiental, obtención de licencias ambientales, financiación y operación de las obras en el corredor vial del caribe. El concesionario reclama que se declare la ANI ha incumplido la determinación del panel de expertos y exigir al concesionario la ampliación de la calzada existente entre Turbo y El Tigre y la no rehabilitación de la misma "
8,245,9621299329.542114,19,PESOS,6709980493.0,OPAIN S.A.  ,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,OPAIN S.A.  ,2456000169 OK-12006-12,245,42,12.0,0,NO,20154050238872 / 20164050532262/ 20178000085412,JURIDICO,NO,JURIDICA ,ARIZA MORENO WEINER CESAR,SI,GUTIERREZ RAMIREZ ALEJANDRO,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI|245|TRANSPORTE,830125996-6,NACIONAL,CONVOCADO,ARBITRAMENTO GENERAL,2855,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,3.0,BARRERA MUÑOZ WILLIAM,MAYORCA ESCOBAR CARLOS HUMBERTO,79788488,TERMINADO POR LAUDO,PRIMERA ,FALLO,DESFAVORABLE,HACER,1280020910,GENERAL,AGENCIA NACIONAL DE INFRAESTRUCTURA,Sector Transporte,INCUMPLIMIENTO OBLIGACIONES PARA EJECUCION DE OBRAS
9,245,340018620000.84406,23,PESOS,278063000000.0,SOCIEDAD AUTOPISTA DEL CAFÉ S.A.  ,SOCIEDAD AUTOPISTA DEL CAFÉ S.A.  ,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,24501131997-468,245,42,468.0,1,NO,20164050735092 / 20164050748042 / 20164051677492 / 20164051818892 / 20164051819062 / 20164051819292  / 20164051865842 / 20164051865992 / 20164051866032 / 20168001902752/ 20184050523722,MACROECONOMICO,SI,JURIDICA ,GUTIERREZ RAMIREZ ALEJANDRO,NO,  ,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI|245|TRANSPORTE,830125996-6,NACIONAL,CONVOCANTE,ARBITRAMENTO GENERAL,4604,"CENTRO DE ARBITRAJE, CONCILIACIÓN Y AMIGABLE COMPOSICIÓN DE LA CÁMARA DE COMERCIO DE BOGOTÁ",MUTUO ACUERDO,3.0,BARRERA MUÑOZ WILLIAM,MORALES GIL DIEGO FERNANDO,79948494,TERMINADO POR LAUDO,PRIMERA ,FALLO,FAVORABLE,PAGAR,0,GENERAL,AGENCIA NACIONAL DE INFRAESTRUCTURA,Sector Transporte,"Se pretende demostrar el incumplimiento contractual y desequilibrio económico del contrato, que parten de la remuneración que se hizo al contratista de valores de inversión no reconocidos contractualmente, surgido con ocasión del cambio de modelo financiero de los valores de construcción y rehabilitación así como la variación del precio de construcción de infraestructura de operación y la exclusión del ajuste anual del IPC acordado."
